abbr	ar	bn	cy	de	en	eo	es	fr	he	hi	in	ja	ko	la	pt	ru	sw	tl	ur	yi	zh	zu
GOSUB STACK UNDERFLOW	GOSUB STACK UNDERFLOW	গোসব স্ট্যাক আন্ডারফ্লো	TAN -LIF PENTWR GOSUB	GOSUB STACK UNTERLAUF	GOSUB STACK UNDERFLOW	GOSUB STACK SUBFLUO	GOSUB STACK SUBSFLOW	UNDERFLOW GOSUB STACK	זרימת הערימה של GOSUB	गोसुब स्टैक अंडरफ्लो	GOSUB STACK UNDERFLOW	GOSUBスタックアンダーフロー	GOSUB 스택 언더 플로	GESSUB ACERVUS UNDERFLOW	GOSUB STACK SUBFLOW	GOSUB STACK HOONFLOW	GOSUB STACK UNDERED	GOSUB STACK UNDERFLOW	گوسب اسٹیک انڈر فلو	גאָסוב אָנלייגן אַנדערפלאָו	GOSUB堆栈下流	I-GOSUB STACK UKUCHICHIMA
INCORRECT NUMBER OF PARAMETERS	عدد غير صحيح من المعلمات	প্যারামিটারগুলির ভুল সংখ্যা	NIFER ANGHYWIR O BARAMEDRAU	FALSCHE ANZAHL VON PARAMETERN	INCORRECT NUMBER OF PARAMETERS	MALĜUSTA NOMBRO DE PARAMETROJ	NÚMERO INCORRECTO DE PARÁMETROS	NOMBRE INCORRECT DE PARAMÈTRES	מספר שגוי של פרמטרים	मापदंडों की गलत संख्या	JUMLAH PARAMETER YANG SALAH	パラメーターの数が間違っています	잘못된 수의 매개 변수	FALSA NUMERUS PARAMETRI	NÚMERO INCORRETO DE PARÂMETROS	НЕПРАВИЛЬНОЕ КОЛИЧЕСТВО ПАРАМЕТРОВ	IDADI ISIYO SAHIHI YA VIGEZO	MALING BILANG NG MGA PARAMETER	پیرامیٹرز کی غلط تعداد	פאַלש נומער פון פּאַראַמעטערס	不正确的参数数	INOMBOLO ENGALUNGILE YAMAPHARAMITHA
INDEX OUT OF RANGE	فهرس خارج النطاق	সীমা ছাড়িয়ে সূচক	MYNEGAI Y TU ALLAN I'R AMREDIAD	INDEX AUSSERHALB DES BEREICHS	INDEX OUT OF RANGE	INDEKSO EKSTER LA GAMO	ÍNDICE FUERA DE RANGO	INDEX HORS DE PORTÉE	אינדקס מחוץ לטווח	सीमा से बाहर	INDEKS DI LUAR JANGKAUAN	範囲外のインデックス	범위를 벗어난 색인	INDEX DE RANGE	ÍNDICE FORA DE ALCANCE	УКАЗАТЕЛЬ	INDEX NJE YA ANUWAI	INDEX SA LABAS NG SAKLAW	رینج سے باہر انڈیکس	אינדעקס אויס פון קייט	索引超出范围	INKOMBA NGAPHANDLE KWEBANGA
LABEL ALREADY DEFINED	تسمية محددة بالفعل	ইতিমধ্যে সংজ্ঞায়িত লেবেল	LABEL EISOES WEDI'I DDIFFINIO	ETIKETT BEREITS DEFINIERT	LABEL ALREADY DEFINED	ETIKEDO JAM DIFINITA	ETIQUETA YA DEFINIDA	ÉTIQUETTE DÉJÀ DÉFINIE	תווית כבר מוגדרת	पहले से परिभाषित लेबल	LABEL SUDAH DITENTUKAN	すでに定義されているラベル	이미 정의 된 레이블	PITTACIUM IAM DEFINED	RÓTULO JÁ DEFINIDO	МЕТКА УЖЕ ОПРЕДЕЛЕН	LEBO TAYARI IMEELEZEWA	NATUKOY NA ANG LABEL	لیبل پہلے ہی بیان کیا گیا ہے	פירמע שוין דיפיינד	标签已经定义	ILEBULA ECHAZIWE
LEFT / RIGHT OPERATION MISMATCH	عدم تطابق العملية اليسرى / اليمنى	বাম / ডান অপারেশন অমিল	CAMGYMHARIAD OPERATION CHWITH / DDE	FEHLANPASSUNG DES LINKEN / RECHTEN BETRIEBS	LEFT / RIGHT OPERATION MISMATCH	MALDEKSTRA / DEKSTRA OPERACIO MISMATCH	OPERACIÓN IZQUIERDA / DERECHA DESAJUSTE	DÉLIACHANCE DE L'OPÉRATION GAUCHE / DROITE	חוסר התאמה בין מבצע שמאל / ימין	बाएं / दाएं ऑपरेशन बेमेल	KETIDAKCOCOKAN OPERASI KIRI / KANAN	左 /右操作の不一致	왼쪽 / 오른쪽 작동 불일치	SINISTRAM / IUS OPERATIONEM MISMATCH	INDATIBILIDADE DE OPERAÇÃO ESQUERDA / DIREITA	НЕСООТВЕТСТВИЕ ЛЕВОЙ / ПРАВОЙ ОПЕРАЦИИ	KUSHOTO / KULIA OPERESHENI MISMATCH	KALIWA / KANANG OPERASYON MISMATCH	بائیں / دائیں آپریشن مماثلت	לינקס / רעכט אָפּעראַציע מיסמאַטש	左 /右操作不匹配	I-LEFT / RIGHT OPERATION MISMATCH
NEGATIVE INDEX	الفهرس السلبي	নেতিবাচক সূচক	MYNEGAI NEGYDDOL	NEGATIVER INDEX	NEGATIVE INDEX	NEGATIVA INDEKSO	ÍNDICE NEGATIVO	INDICE NÉGATIF	אינדקס שלילי	ऋणात्मक सूचकांक	INDEKS NEGATIF	負のインデックス	음수 지수	NEGANS INDEX	ÍNDICE NEGATIVO	ОТРИЦАТЕЛЬНЫЙ ИНДЕКС	KIELELEZO HASI	NEGATIBONG INDEX	منفی انڈیکس	נעגאַטיוו אינדעקס	负数	INKOMBA ENGEMIHLE
NEXT ON FOR LOOP WITH STRING VARIABLE	التالي على حلقة مع متغير السلسلة	স্ট্রিং ভেরিয়েবল সহ লুপের জন্য পরবর্তী	NESAF YMLAEN AM DDOLEN GYDA NEWIDYN LLINYN	ALS NÄCHSTES FÜR DIE SCHLEIFE MIT STRING -VARIABLE	NEXT ON FOR LOOP WITH STRING VARIABLE	VENONTA POR BUKLO KUN ĈENA VARIABLO	SIGUIENTE EN FOR LOOP CON VARIABLE DE CADENA	SUIVANT POUR LOOP AVEC VARIABLE DE CHAÎNE	הבא לולאה עם משתנה מחרוזת	स्ट्रिंग चर के साथ लूप के लिए अगला	SELANJUTNYA UNTUK LOOP DENGAN VARIABEL STRING	次に、文字列変数を使用してループを使用します	다음은 문자열 변수로 루프를 사용합니다	DEINDE IN PRO LOOP CUM FILUM VARIABILIS	EM SEGUIDA, PARA LOOP COM VARIÁVEL DE STRING	ДАЛЕЕ ДЛЯ ПЕТЛИ СО СТРОКОВОЙ ПЕРЕМЕННОЙ	IFUATAYO KWA KITANZI NA KAMBA YA KUTOFAUTISHA	SUSUNOD SA PARA SA LOOP NA MAY VARIABLE NA STRING	سٹرنگ متغیر کے ساتھ لوپ کے لئے اگلا	ווייַטער פֿאַר שלייף מיט שטריקל בייַטעוודיק	下一个使用字符串变量的循环	NGOKULANDELAYO KU-LOOP NGE-STRING EGUQUGUQUKAYO
OPERAND MISMATCH	عدم تطابق المعامل	অপারেন্ড অমিল	CAMGYMHARIAD OPERAND	OPERAND -NICHTÜBEREINSTIMMUNG	OPERAND MISMATCH	OPERANDA MISKOMPRENO	DESAJUSTE DE OPERANDO	DÉCALAGE DE L'OPÉRANDE	אי התאמה אופרנד	संचालक बेमेल	KETIDAKCOCOKAN OPERAN	オペランドの不一致	피연산자 불일치	OPERAND MISMATCH	INCOMPATIBILIDADE DO OPERANDO	ОПЕРАНД НЕСООТВЕТСТВИЕ	UENDESHAJI WA KAZI	MISMATCH NG OPERAND	آپٹینڈ مماثل	אָפּעראַנד מיסמאַטש	操作数不匹配	I-OPERAND MISMATCH
OPTION REQUIRES A LANGUAGE	الخيار يتطلب لغة	বিকল্পের জন্য একটি ভাষা প্রয়োজন	OPSIWN YN GOFYN AM IAITH	OPTION ERFORDERT EINE SPRACHE	OPTION REQUIRES A LANGUAGE	OPCIO POSTULAS LINGVON	LA OPCIÓN REQUIERE UN IDIOMA	L'OPTION NÉCESSITE UNE LANGUE	אפשרות דורשת שפה	विकल्प के लिए एक भाषा की आवश्यकता होती है	OPSI MEMBUTUHKAN BAHASA	オプションには言語が必要です	옵션에는 언어가 필요합니다	OPTIO POSTULAT A LINGUA	A OPÇÃO REQUER UM IDIOMA	ВАРИАНТ ТРЕБУЕТ ЯЗЫКА	CHAGUO INAHITAJI LUGHA	ANG PAGPIPILIAN AY NANGANGAILANGAN NG ISANG WIKA	آپشن کے لئے زبان کی ضرورت ہوتی ہے	אָפּציע ריקווייערז אַ שפּראַך	选项需要一种语言	INKETHO IDINGA ULIMI
PLEASE CHECK LANGUAGE SETTINGS OR ENVIRONMENT VARIABLE	يرجى التحقق من إعدادات اللغة أو متغير البيئة	ভাষা সেটিংস বা পরিবেশ পরিবর্তনশীল পরীক্ষা করুন	GWIRIWCH GOSODIADAU IAITH NEU AMGYLCHEDD AMGYLCHEDD	BITTE ÜBERPRÜFEN SIE DIE SPRACHEINSTELLUNGEN ODER UMGEBUNGSVARIABLE	PLEASE CHECK LANGUAGE SETTINGS OR ENVIRONMENT VARIABLE	BONVOLU KONTROLI LINGVAJN AGORDOJN AŬ MEDIAN VARIABLON	VERIFIQUE LA CONFIGURACIÓN DEL IDIOMA O LA VARIABLE DE ENTORNO	VEUILLEZ VÉRIFIER LES PARAMÈTRES DE LA LANGUE OU LA VARIABLE D'ENVIRONNEMENT	אנא בדוק את הגדרות השפה או משתנה הסביבה	कृपया भाषा सेटिंग्स या पर्यावरण चर की जाँच करें	SILAKAN PERIKSA PENGATURAN BAHASA ATAU VARIABEL LINGKUNGAN	言語設定または環境変数を確認してください	언어 설정 또는 환경 변수를 확인하십시오	PLACERE REPREHENDO LINGUA OCCASUS VEL ENVIRONMENT VARIABILIS	VERIFIQUE AS CONFIGURAÇÕES DE IDIOMA OU A VARIÁVEL DE AMBIENTE	ПОЖАЛУЙСТА, ПРОВЕРЬТЕ НАСТРОЙКИ ЯЗЫКА ИЛИ ПЕРЕМЕННУЮ СРЕДЫ	TAFADHALI ANGALIA MIPANGILIO YA LUGHA AU KUTOFAUTISHA KWA MAZINGIRA	MANGYARING SURIIN ANG MGA SETTING NG WIKA O VARIABLE NG KAPALIGIRAN	براہ کرم زبان کی ترتیبات یا ماحولیاتی متغیر کو چیک کریں	ביטע טשעק שפּראַך סעטטינגס אָדער סוויווע בייַטעוודיק	请检查语言设置或环境变量	SICELA UBHEKE IZILUNGISELELO ZOLIMI NOMA UKUGUQUGUQUKA KWEMVELO
STRING MATH LOGIC ERROR	خطأ في منطق الرياضيات	স্ট্রিং ম্যাথ লজিক ত্রুটি	GWALL RHESYMEG MATHEMATEG LLINYN	STRING -MATHEMATIK -LOGIKFEHLER	STRING MATH LOGIC ERROR	ŜNURO DE MATEMATIKA LOGIKA ERARO	STRING MATH LOGIC ERROR	ERREUR DE LOGIQUE MATHÉMATIQUE DE CHAÎNE	שגיאת היגיון במתמטיקה של מחרוזת	स्ट्रिंग गणित तर्क त्रुटि	KESALAHAN LOGIKA MATEMATIKA STRING	文字列数学ロジックエラー	문자열 수학 로직 오류	MATH MATH LOGICA ERROR	ERRO DE LÓGICA MATEMÁTICA DA STRING	ОШИБКА МАТЕМАТИЧЕСКОЙ ЛОГИКИ СТРОКИ	KOSA LA MANTIKI YA HESABU	STRING ERROR SA LOGIC NG STRING	سٹرنگ ریاضی کی منطق کی خرابی	שטריקל מאַט לאָגיק טעות	字符串数学逻辑错误	IPHUTHA LE-STRING MATH IPHUTHA
SYNTAX ERROR	خطأ في بناء الجملة	বাক্যগঠন ত্রুটি	GWALL CYSTRAWEN	SYNTAX-FEHLER	SYNTAX ERROR	SINTAKSA ERARO	ERROR DE SINTAXIS	ERREUR DE SYNTAXE	שגיאת תחביר	वक्य रचना त्रुटि	KESALAHAN SINTAKS	構文エラー	구문 오류	SYNTAX ERROR	ERRO DE SINTAXE	ОШИБКА СИНТАКСИСА	KOSA LA SYNTAX	ERROR SA SYNTAX	نحو کی خرابی	סינטאַקס טעות	语法错误	IPHUTHA LE-SYNTAX
UNABLE TO OPEN FILE	غير قادر على فتح ملف	নথি খুলতে অক্ষম	METHU AGOR FFEIL	DATEI KANN NICHT GEÖFFNET WERDEN	UNABLE TO OPEN FILE	NE EBLAS MALFERMI DOSIERON	NO ES POSIBLE ABRIR EL ARCHIVO	IMPOSSIBLE D'OUVRIR LE FICHIER	לא ניתן לפתוח קובץ	फाइल खोलने में असमर्थ	TIDAK DAPAT MEMBUKA FILE	ファイルを開くことができません	열 수없는 파일	'NON APERIRE FILE	IMPOSSÍVEL ABRIR O FICHEIRO	НЕВОЗМОЖНО ОТКРЫТЬ ФАЙЛ	HAIWEZI KUFUNGUA FAILI	HINDI MABUKSAN ANG FILE	فائل کھولنے سے قاصر ہے	ניט געקענט צו עפענען טעקע	无法打开文件	AYIKWAZI UKUVULA IFAYELA
UNABLE TO OPEN FILE FOR READING	غير قادر على فتح ملف للقراءة	পড়ার জন্য ফাইল খুলতে অক্ষম	METHU AGOR FFEIL AR GYFER DARLLEN	DATEI ZUM LESEN KANN NICHT GEÖFFNET WERDEN	UNABLE TO OPEN FILE FOR READING	NE EBLAS MALFERMI DOSIERON POR LEGADO	NO SE PUEDE ABRIR EL ARCHIVO PARA LEER	IMPOSSIBLE D'OUVRIR LE FICHIER POUR LA LECTURE	לא ניתן לפתוח קובץ לקריאה	पढ़ने के लिए फ़ाइल खोलने में असमर्थ	TIDAK DAPAT MEMBUKA FILE UNTUK MEMBACA	読み取りのためにファイルを開くことができません	읽기를 위해 파일을 열 수 없습니다	'NON APERIRE FILE AD LECTIO	INCAPAZ DE ABRIR O ARQUIVO PARA LEITURA	НЕВОЗМОЖНО ОТКРЫТЬ ФАЙЛ ДЛЯ ЧТЕНИЯ	HAIWEZI KUFUNGUA FAILI YA KUSOMA	HINDI MABUKSAN ANG FILE PARA SA PAGBABASA	پڑھنے کے لئے فائل کھولنے سے قاصر ہے	ניט געקענט צו עפענען טעקע פֿאַר לייענען	无法打开文件以阅读	AYIKWAZI UKUVULA IFAYELA LOKUFUNDA
UNDEFINED LABEL	تسمية غير محددة	অপরিবর্তিত লেবেল	LABEL HEB EI DDIFFINIO	UNDEFINED ETIKETT	UNDEFINED LABEL	NEDIFINITA ETIKEDO	ETIQUETA INDEFINIDA	ÉTIQUETTE NON DÉFINIE	תווית לא מוגדרת	अपरिभाषित लेबल	LABEL YANG TIDAK DITENTUKAN	未定義のラベル	정의되지 않은 레이블	UNDEFINED LABEL	ETIQUETA INDEFINIDA	НЕОПРЕДЕЛЕННАЯ ЭТИКЕТКА	LEBO ISIYOELEZEWA	HINDI NATUKOY NA LABEL	غیر متعینہ لیبل	UNDEFINED פירמע	未定义的标签	ILEBULA ELINGACHAZWANGA
UNHANDLED OPERATION	عملية غير معطلة	UNHANDED অপারেশন	GWEITHREDIAD HEB EI DRIN	NICHT BEHANDELTER OPERATION	UNHANDLED OPERATION	MALKONATA OPERACIO	OPERACIÓN NO CONTROLADA	OPÉRATION DE NON-GÉANDÉE	פעולה לא מטופלת	अनहेल्दी संचालन	OPERASI YANG TIDAK DITANGANI	未処理の操作	처리되지 않은 작동	UNHARLED OPERATIO	OPERAÇÃO NÃO COMBINADA	НЕУПОМЯНУТАЯ ОПЕРАЦИЯ	OPERESHENI ISIYOSABABISHWA	HINDI NAG -IISANG OPERASYON	غیر منقولہ آپریشن	ונהאַנדלעד אָפּעראַציע	未经处理的操作	UKUSEBENZA OKUNGENAMKHAWULO
UNHANDLED OPERATION CODE	رمز التشغيل غير المعقول	UNHANDLED অপারেশন কোড	COD GWEITHREDU HEB EI DRIN	NICHT BEHANDELTER BETRIEBSCODE	UNHANDLED OPERATION CODE	MALKONATA OPERACIA KODO	CÓDIGO DE OPERACIÓN NO CONTROLADO	CODE D'OPÉRATION NON GÉRÉ	קוד פעולה שלא מטופל	अनियंत्रित ऑपरेशन कोड	KODE OPERASI YANG TIDAK DITANGANI	未処理の操作コード	처리되지 않은 작동 코드	UNHARED OPERATIO CODICE	CÓDIGO DE OPERAÇÃO NÃO ATRIBUÍDO	КОД ОПЕРАЦИИ НЕЗДОРОВОЙ	NAMBARI YA OPERESHENI ISIYOZUILIWA	HINDI NAKA -IWAS NA CODE NG OPERASYON	غیر منقولہ آپریشن کوڈ	ונהאַנדלעד אָפּעראַציע קאָד	未经处理的操作代码	IKHODI YOKUSEBENZA ENGATHANDEKI
UNKNOWN IF LABEL	غير معروف إذا كانت العلامة	অজানা যদি লেবেল	ANHYSBYS OS LABEL	UNBEKANNT, WENN ETIKETT	UNKNOWN IF LABEL	NEKONATA SE ETIKEDO	DESCONOCIDO SI LA ETIQUETA	INCONNU SI L'ÉTIQUETTE	לא ידוע אם תווית	अज्ञात अगर लेबल	TIDAK DIKETAHUI JIKA LABEL	ラベルの場合は不明です	라벨이 알려지지 않았습니다	IGNOTUM SI LABEL	DESCONHECIDO SE RÓTULO	НЕИЗВЕСТНО, ЕСЛИ ЭТИКЕТКА	HAIJULIKANI IKIWA LEBO	HINDI ALAM KUNG LABEL	نامعلوم اگر لیبل ہے	אומבאַקאַנט אויב פירמע	未知是否标签	AKWAZIWA UMA ILEBULA
UNKNOWN OP IN PARAMETER SUBSTITUTION	غير معروف OP في استبدال المعلمات	প্যারামিটার প্রতিস্থাপনে অজানা ওপি	OP ANHYSBYS MEWN AMNEWID PARAMEDR	UNBEKANNTER OP IN DER PARAMETERSUBSTITUTION	UNKNOWN OP IN PARAMETER SUBSTITUTION	NEKONATA OP EN PARAMETRA ANSTATAŬIGO	OP DESCONOCIDO EN SUSTITUCIÓN DE PARÁMETROS	OP INCONNU DANS LA SUBSTITUTION DES PARAMÈTRES	לא ידוע על החלפת פרמטרים	पैरामीटर प्रतिस्थापन में अज्ञात ओपी	OP YANG TIDAK DIKETAHUI DALAM SUBSTITUSI PARAMETER	パラメーター置換の不明なOP	매개 변수 대체에서 알려지지 않은 OP	IGNOTUS OP PER PARAMETER SUBSTITUTIONIS	OP DESCONHECIDO NA SUBSTITUIÇÃO DE PARÂMETROS	НЕИЗВЕСТНЫЙ OP В ЗАМЕНЕ ПАРАМЕТРОВ	OP HAIJULIKANI KATIKA UINGIZWAJI WA PARAMETA	HINDI KILALANG OP SA PAGPAPALIT NG PARAMETER	پیرامیٹر متبادل میں نامعلوم او پی	אומבאַקאַנט אויף אין פּאַראַמעטער סאַבסטיטושאַן	参数替代中未知的OP	I-OP ENGAZIWA EKUSETSHENZISWENI KWEPHARAMITHA
UNRECOGNIZED DOUBLE MATH OPERATION	عملية رياضيات مزدوجة غير معترف بها	অচেনা ডাবল গণিত অপারেশন	GWEITHREDIAD MATHEMATEG DWBL HEB EI GYDNABOD	UNERKANNTER DOPPELMATHEMATIKOPERATION	UNRECOGNIZED DOUBLE MATH OPERATION	NE REKONITA DUOBLA MATEMATIKA OPERACIO	OPERACIÓN DE MATEMÁTICAS DOBLE NO RECONOCIDA	OPÉRATION DE DOUBLE MATHÉMATIQUES NON RECONNUE	פעולת מתמטיקה כפולה לא מוכרת	अपरिचित दोहरे गणित संचालन	OPERASI MATEMATIKA GANDA YANG TIDAK DIKENAL	認識されていない二重数学操作	인식되지 않은 이중 수학 작동	DUPLEX DUPLICI MATH OPERANDI	OPERAÇÃO DE MATEMÁTICA DUPLA NÃO RECONHECIDA	НЕПОЗНАННАЯ ДВОЙНАЯ МАТЕМАТИЧЕСКАЯ ОПЕРАЦИЯ	OPERESHENI YA HESABU MARA MBILI ISIYOJULIKANA	HINDI NAKIKILALANG DOBLENG OPERASYON SA MATEMATIKA	غیر تسلیم شدہ ڈبل ریاضی کا آپریشن	אַנרעקאַגנייזד טאָפּל מאַט אָפּעראַציע	未识别的双重数学操作	UKUSEBENZA OKUNGAZIWA OKUPHINDWE KABILI KWEZIBALO
UNRECOGNIZED GOSUB LABEL	تسمية GOSUB غير المعترف بها	অচেনা গোসব লেবেল	LABEL GOSUB HEB EI GYDNABOD	NICHT ANERKANNTES GOSUB -LABEL	UNRECOGNIZED GOSUB LABEL	NE REKONITA GOSUB -ETIKEDO	ETIQUETA GOSUB NO RECONOCIDA	ÉTIQUETTE GOSUB NON RECONNUE	תווית GOSUB לא מוכרת	अविश्वसनीय GOSUB लेबल	LABEL GOSUB YANG TIDAK DIKENALI	認識されていないゴスブラベル	인식되지 않은 GOSUB 레이블	COGNITA GOSOB LABEL	ETIQUETA GOSUB NÃO RECONHECIDA	НЕПОЗНАННЫЙ ЛЕЙБЛ ГОСУБА	LEBO ISIYOJULIKANA YA GOSUB	HINDI NAKIKILALANG LABEL NG GOSUB	غیر تسلیم شدہ گوسب لیبل	אַנרעקאַגנייזד GOSUB לאַבעל	无法识别的GOSUB标签	ILEBULA YE-GOSUB ENGAZIWA
UNRECOGNIZED GOTO LABEL	تسمية GOTO غير المعترف بها	অজ্ঞাত গোটো লেবেল	LABEL GOTO HEB EI GYDNABOD	NICHT ANERKANNTES GOTO -LABEL	UNRECOGNIZED GOTO LABEL	NE REKONITA GOTO -ETIKEDO	ETIQUETA GOTO NO RECONOCIDA	ÉTIQUETTE GOTO NON RECONNUE	תווית GOTO לא מוכרת	गैर -मान्यता प्राप्त गोटो लेबल	LABEL GOTO YANG TIDAK DIAKUI	認識されていないGOTOラベル	인식되지 않은 GOTO 레이블	COGNITA GATA LABEL	RÓTULO GOTO NÃO RECONHECIDO	НЕПОЗНАННЫЙ ЛЕЙБЛ GOTO	LEBO ISIYOJULIKANA YA GOTO	HINDI NAKIKILALANG LABEL NG GOTO	غیر تسلیم شدہ گوٹو لیبل	אַנרעקאַגנייזד גאָטאָ פירמע	无法识别的GOTO标签	ILEBULA YE-GOTO ENGAZIWA
UNRECOGNIZED INPUT	المدخلات غير المعترف بها	অচেনা ইনপুট	MEWNBWN HEB EI GYDNABOD	UNERKANNTE EINGABE	UNRECOGNIZED INPUT	NE REKONITA ENIGO	ENTRADA NO RECONOCIDA	ENTRÉE NON RECONNUE	קלט לא מוכר	अपरिचित इनपुट	INPUT YANG TIDAK DIAKUI	認識されていない入力	인식되지 않은 입력	INPUT	ENTRADA NÃO RECONHECIDA	НЕПОЗНАННЫЙ ВХОД	PEMBEJEO ISIYOJULIKANA	HINDI NAKIKILALANG INPUT	غیر تسلیم شدہ ان پٹ	אַנרעקאַגנייזד אַרייַנשרייַב	未识别的输入	OKOKUFAKA OKUNGAZIWA
UNRECOGNIZED INTEGER MATH OPERATION	عملية رياضيات عدد صحيح غير معترف بها	অচেনা পূর্ণসংখ্যা গণিত অপারেশন	GWEITHREDIAD MATHEMATEG CYFANRIF HEB EI GYDNABOD	UNERKANNTE GANZZAHL -MATHEMATIKOPERATION	UNRECOGNIZED INTEGER MATH OPERATION	NE REKONITA ENTJERA MATEMATIKA OPERACIO	OPERACIÓN DE MATEMÁTICAS ENTERAS NO RECONOCIDAS	OPÉRATION MATHÉMATIQUE ENTIER NON RECONNUE	פעולת מתמטיקה שלמה לא מוכרת	निहित पूर्णांक गणित संचालन	OPERASI MATEMATIKA INTEGER YANG TIDAK DIKENAL	認識されていない整数数学操作	인식되지 않은 정수 수학 작동	COGNITA INTEGER MATH OPERANDI	OPERAÇÃO DE MATEMÁTICA INTEIRA NÃO RECONHECIDA	НЕПОЗНАННАЯ ЦЕЛОЧИСЛЕННАЯ МАТЕМАТИЧЕСКАЯ ОПЕРАЦИЯ	OPERESHENI YA HESABU ISIYOJULIKANA	HINDI NAKIKILALANG OPERASYON NG INTEGER MATEMATIKA	غیر تسلیم شدہ عددی ریاضی کا آپریشن	אַנרעקאַגנייזד ינטאַדזשער מאַט אָפּעראַציע	无法识别的整数数学操作	UKUSEBENZA OKUNGAZIWA KWE-INTEGER MATH
UNRECOGNIZED MATH TYPE	نوع الرياضيات غير المعترف به	স্বীকৃত গণিতের ধরণ	MATH MATHEMATEG HEB EI GYDNABOD	UNERKANNTER MATHEMATISCHER TYP	UNRECOGNIZED MATH TYPE	NE REKONITA MATEMATIKA TIPO	TIPO DE MATEMÁTICAS NO RECONOCIDO	TYPE MATHÉMATIQUE NON RECONNU	סוג מתמטיקה לא מוכר	बिना मान्यता प्राप्त गणित प्रकार	JENIS MATEMATIKA YANG TIDAK DIKENAL	認識されていない数学タイプ	인식되지 않은 수학 유형	COGNITA MATH TYPE	TIPO DE MATEMÁTICA NÃO RECONHECIDO	НЕПОЗНАННЫЙ МАТЕМАТИЧЕСКИЙ ТИП	AINA YA HESABU ISIYOJULIKANA	HINDI NAKIKILALANG URI NG MATEMATIKA	غیر تسلیم شدہ ریاضی کی قسم	אַנרעקאַגנייזד מאַטאַמאַטיק טיפּ	无法识别的数学类型	UHLOBO LWEZIBALO OLUNGAZIWA
UNRECOGNIZED NEXT VARIABLE	المتغير التالي غير المعترف به	অচেনা পরবর্তী পরিবর্তনশীল	NEWIDYN NESAF HEB EI GYDNABOD	UNERKANNTE NÄCHSTE VARIABLE	UNRECOGNIZED NEXT VARIABLE	NE REKONITA SEKVA VARIABLO	NEXT VARIABLE NO RECONOCIDA	VARIABLE SUIVANTE NON RECONNUE	משתנה הבא לא מוכר	अगला चर की पहचान की गई	VARIABEL BERIKUTNYA YANG TIDAK DIKENALI	認識されていない次の変数	인식되지 않은 다음 변수	LATUIT NEXT VARIABILIS	PRÓXIMA VARIÁVEL NÃO RECONHECIDA	НЕПОЗНАННАЯ СЛЕДУЮЩАЯ ПЕРЕМЕННАЯ	KUTOFAULU KUTOFAUTISHA INAYOFUATA	HINDI NAKIKILALANG SUSUNOD NA VARIABLE	غیر تسلیم شدہ اگلا متغیر	אַנרעקאַגנייזד ווייַטער בייַטעוודיק	未识别的下一个变量	UKUHLUKAHLUKA OKUNGAZIWA OKULANDELAYO
UNRECOGNIZED OP IN PRINT	OP غير المعترف به في الطباعة	মুদ্রণে অচেনা ওপি	OP HEB EI GYDNABOD MEWN PRINT	UNERKANNTER OP IN GEDRUCKTER FORM	UNRECOGNIZED OP IN PRINT	NE REKONITA OP EN PRESAĴO	OP NO RECONOCIDO IMPRESO	OP NON RECONNU SUR PAPIER	OP לא מוכר בהדפס	प्रिंट में अपरिचित ओपी	OP YANG TIDAK DIAKUI DI MEDIA CETAK	印刷されていない認識されていないOP	인식되지 않은 OP 인쇄	COGNITA OP IN PRINT	OP NÃO RECONHECIDO NA IMPRESSÃO	НЕПОЗНАННЫЙ OP В ПЕЧАТИ	OP ISIYOJULIKANA KWA KUCHAPISHWA	HINDI NAKIKILALANG OP SA PRINT	پرنٹ میں غیر تسلیم شدہ او پی	אַנרעקאַגנייזד אַפּ אין דרוקן	未识别的OP印刷	I-OP ENGAZIWA
UNRECOGNIZED RATIONAL MATH OPERATION	عملية الرياضيات العقلانية غير المعترف بها	অচেনা যুক্তিযুক্ত গণিত অপারেশন	GWEITHREDIAD MATHEMATEG RHESYMEGOL HEB EI GYDNABOD	UNERKANNTER RATIONALER MATHEMATISCHER OPERATION	UNRECOGNIZED RATIONAL MATH OPERATION	NE REKONITA RACIA MATEMATIKA OPERACIO	OPERACIÓN MATEMÁTICA RACIONAL NO RECONOCIDA	OPÉRATION DE MATHÉMATIQUES RATIONNELLES NON RECONNUE	פעולת מתמטיקה רציונלית לא מוכרת	बिना मान्यता प्राप्त तर्कसंगत गणित संचालन	OPERASI MATEMATIKA RASIONAL YANG TIDAK DIKENAL	認識されていない合理的な数学操作	인식되지 않은 합리적 수학 운영	COGNITA RATIONALIS MATH OPERANDI	OPERAÇÃO DE MATEMÁTICA RACIONAL NÃO RECONHECIDA	НЕРАСПОЗНАННАЯ РАЦИОНАЛЬНАЯ МАТЕМАТИЧЕСКАЯ ОПЕРАЦИЯ	OPERESHENI YA HESABU ISIYOJULIKANA	HINDI NAKIKILALANG OPERASYON NA MAKATARUNGANG MATEMATIKA	غیر تسلیم شدہ عقلی ریاضی کا آپریشن	אַנרעקאַגנייזד באַרדאַסדיק מאַט אָפּעראַציע	未被认可的理性数学操作	UKUSEBENZA OKUNGAZIWA OKUNGAZIWA KWEZIBALO
